",sgSCR_pre_r1,sgSCR_pre_r2,sgSCR_pre_r3,MBD2KO_pre_r1,MBD2KO_pre_r2,MBD2KO_pre_r3,sgSCR_post_r1,sgSCR_post_r2,sgSCR_post_r3,MBD2KO_post_r1,MBD2KO_post_r2,MBD2KO_post_r3"
"215" ",\"ADGRA2,34,46,40,83,97,53,10,19,8,22,15,15\""
"216" ",\"ADGRA3,193,247,198,177,165,180,85,153,96,62,63,45\""
"217" ",\"ADGRD2,79,111,93,98,115,84,82,103,76,54,52,41\""
"218" ",\"ADGRE2,333,526,427,370,383,325,234,296,218,94,90,75\""
"219" ",\"ADGRE5,327,595,500,521,513,419,466,587,414,240,296,243\""
"220" ",\"ADGRF3,5,12,9,9,10,5,13,22,15,13,12,13\""
"221" ",\"ADGRG1,46,60,55,36,37,32,58,90,64,25,31,23\""
"222" ",\"ADGRL1,71,101,96,101,88,83,33,48,32,31,31,39\""
"223" ",\"ADGRV1,3,6,2,8,6,10,4,11,9,21,22,20\""
"224" ",\"ADH5,1105,1518,931,1426,1028,1108,921,1253,797,524,602,485\""
"225" ",\"ADH5P2,16,20,23,22,17,17,15,17,22,10,14,4\""
"226" ",\"ADH5P3,13,10,15,21,11,17,8,5,15,6,12,4\""
"227" ",\"ADH5P4,257,334,218,336,276,268,216,311,184,118,158,97\""
"228" ",\"ADHFE1,22,31,22,33,21,18,27,46,24,25,26,21\""
"229" ",\"ADI1,1581,2217,1585,1853,1476,1472,613,792,555,544,577,485\""
"230" ",\"ADIPOR1,631,903,655,1147,897,836,729,965,683,1078,1118,896\""
"231" ",\"ADIPOR1P2,6,10,8,5,5,7,7,7,7,10,11,20\""
"232" ",\"ADIPOR2,828,1019,795,1206,976,1066,1131,1348,953,1383,1511,1224\""
"233" ",\"ADIRF-AS1,68,103,78,80,72,80,34,48,30,11,13,18\""
"234" ",\"ADK,842,1185,866,1189,934,978,670,873,575,493,498,398\""
"235" ",\"ADM,0,0,0,3,2,2,6,6,5,31,23,12\""
"236" ",\"ADM2,2,15,12,15,2,5,57,65,56,42,50,38\""
"237" ",\"ADNP,1781,2223,1493,2185,1602,1882,1539,1646,1123,1216,1261,1041\""
"238" ",\"ADNP-AS1,16,14,15,27,12,15,18,28,24,21,22,11\""
"239" ",\"ADNP2,764,1064,689,759,731,734,626,745,491,355,430,387\""
"240" ",\"ADO,284,397,310,324,269,270,278,393,261,157,183,128\""
"241" ",\"ADORA2B,252,376,257,433,380,355,203,253,185,144,135,106\""
"242" ",\"ADPGK,805,1097,758,951,772,805,511,584,412,270,325,231\""
"243" ",\"ADPGK-AS1,9,20,23,20,23,20,21,37,22,17,13,23\""
"244" ",\"ADPRH,10,14,12,25,17,30,9,9,9,5,5,5\""
"245" ",\"ADPRHL2,199,279,207,294,265,235,168,251,156,134,141,110\""
"246" ",\"ADPRM,136,159,100,182,97,116,138,184,125,125,137,81\""
"247" ",\"ADRB2,14,13,12,12,12,6,38,48,40,34,43,26\""
"248" ",\"ADRM1,155,265,212,282,335,250,222,321,232,173,187,194\""
"249" ",\"ADSL,1666,2304,1663,2290,1724,1732,943,1388,951,928,951,705\""
"250" ",\"ADSS1,10,14,11,37,33,19,26,28,10,42,39,27\""
"251" ",\"ADSS2,706,1011,726,931,654,764,485,645,460,325,354,272\""
"252" ",\"AEBP2,528,703,481,590,511,488,342,442,333,335,379,256\""
"253" ",\"AEN,476,690,439,670,681,615,489,666,430,551,608,496\""
"254" ",\"AFDN,23,40,21,28,20,16,18,22,15,8,19,7\""
"255" ",\"AFF1,2120,2705,1894,2516,1898,2268,2690,2874,2056,2119,2213,1755\""
"256" ",\"AFF4,952,1198,948,1215,936,1046,1284,1311,945,921,1039,789\""
"257" ",\"AFG1L,329,468,328,458,283,339,506,627,449,308,299,252\""
"258" ",\"AFG3L1P,298,395,318,410,334,366,332,397,318,318,326,261\""
"259" ",\"AFG3L2,2648,3628,2625,2750,1907,2201,2186,2564,1808,1743,1771,1420\""
"260" ",\"AFG3L2P1,139,179,85,143,128,99,113,176,72,79,82,61\""
"261" ",\"AFMID,191,270,257,331,286,285,244,333,201,231,232,204\""
"262" ",\"AFTPH,460,656,408,516,352,409,411,475,357,332,338,251\""
"263" ",\"AGA,261,353,238,327,198,195,302,374,300,278,309,217\""
"264" ",\"AGAP1,725,1045,795,682,592,571,998,1192,777,333,342,317\""
"265" ",\"AGAP10P,15,17,9,13,10,9,16,18,10,8,11,7\""
"266" ",\"AGAP2,49,65,49,56,69,44,47,53,40,8,16,17\""
"267" ",\"AGAP3,204,339,214,201,223,190,167,203,149,100,91,86\""
"268" ",\"AGAP4,138,158,142,166,154,122,181,253,155,134,120,96\""
"269" ",\"AGAP6,82,97,94,119,75,104,114,136,99,121,98,76\""
"270" ",\"AGAP7P,12,11,13,10,14,19,16,17,5,14,13,6\""
"271" ",\"AGAP9,43,43,56,58,37,41,66,90,57,58,76,59\""
"272" ",\"AGBL2,2,8,10,7,2,7,14,14,10,5,5,6\""
"273" ",\"AGBL3,31,50,30,32,24,32,28,34,21,29,27,16\""
"274" ",\"AGBL5,226,326,281,260,246,217,181,248,191,145,147,120\""
"275" ",\"AGER,40,59,45,56,57,58,55,88,51,82,88,82\""
"276" ",\"AGFG1,951,1271,923,1240,893,913,835,964,702,952,1060,835\""
"277" ",\"AGFG2,85,158,121,183,173,135,247,386,245,176,195,198\""
"278" ",\"AGGF1,1028,1350,924,1116,851,834,750,1031,743,531,549,425\""
"279" ",\"AGGF1P1,13,25,11,10,5,6,15,16,10,9,6,8\""
"280" ",\"AGK,282,340,218,296,181,209,257,404,237,161,194,120\""
"281" ",\"AGL,882,1104,683,1182,872,1035,879,915,689,500,537,361\""
"282" ",\"AGMAT,92,126,81,126,115,101,38,47,33,26,42,17\""
"283" ",\"AGO1,321,465,318,362,340,349,176,249,172,80,107,74\""
"284" ",\"AGO2,1282,1798,1353,2073,1956,1846,2005,2195,1585,2239,2392,2089\""
"285" ",\"AGO3,716,867,662,699,578,624,645,719,553,479,451,391\""
"286" ",\"AGO4,496,603,439,497,408,350,244,322,263,178,181,122\""
"287" ",\"AGPAT1,81,83,73,101,84,96,100,117,64,79,108,77\""
"288" ",\"AGPAT2,157,171,154,155,144,128,76,79,68,29,28,34\""
"289" ",\"AGPAT3,658,875,684,746,659,621,741,907,608,536,621,492\""
"290" ",\"AGPAT4,65,89,63,106,101,81,78,108,65,438,410,366\""
"291" ",\"AGPAT5,5551,7815,5293,6287,4811,5032,4552,5882,4212,2755,2949,2053\""
